a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
bathe	[beð, beɪð] vt.&vi. 给…洗澡，游泳 vt. 冲洗 n. 游泳 
bathroom	[ˈbæθru:m, ˈbɑ:θru:m] n. 浴室 
battery	[ˈbætri, ˈbætəri] n. [电]电池，蓄电池 
battle	[ˈbætl] vt.&vi. 争斗;与…作战 n. 战争，战役;比赛，较量 
bay	[beɪ, be] n. 湾，海湾 vi. （尤指猎犬等）吠，叫，咆哮 adj. 赤褐色的，栗色的 vt. 向…吠叫 
BC	[ˌbi:'si:] abbr. before Christ 公元前（基督教会历法用） 
be	[bi] v. 是;有，存在 aux. 用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质 
beach	[bitʃ, bi:tʃ] n. 海滩，海滨;岸上的沙子和卵石 vt. 将…拖上岸;将滑艇拖到小屋前面的岸边 
beam	[bi:m, bim] n. 束 vi. 发出光与热 vt. 播送 vt.&vi. 笑容满面，眉开眼笑 
bean	[bi:n, bin] n. 豆 vt. 将（球）击中击球员头部 int. 胡说！呸！不可能！ 
bear	[beə(r), ber] n. 熊 vt. 承担 vi. 生（孩子） adj. 跌价的 
beard	[bɪəd, bɪrd] n. 胡须;[虫]口鬃，[动]颌毛 vt. 使有胡须（颌毛，芒刺）;抓（捋）住…的胡子，拔…的胡子 
beast	[bi:st, bist] n. 野兽 
beat	[bit, bi:t] vi. （心脏等）跳动 vt.&vi. 接连地击打 vt. 打败 n. 节拍 adj. [美国口语]大吃一惊的 
beautiful	[ˈbjutəfəl, ˈbju:tɪfl] adj. 美丽的，美好的 
beauty	[ˈbju:ti, ˈbjuti] n. 美人 
because	[bɪˈkɔ:z, bɪˈkɒz] conj. 因为 
become	[bɪˈkʌm] vi. 变得;变成 vt. 变成;适合，适宜 
bed	[bed, bɛd] n. 床 vt. 把…固定在 vi. 上床 
bedroom	[ˈbedru:m, ˈbɛdˌrum, -ˌrʊm] n. 卧室，寝室 adj. <美>城郊住宅区的;两性关系的，男女性爱的 
bee	[bi:, bi] n. 蜜蜂 
beef	[bi:f, bif] n. 牛肉;菜牛（饲养以供肉食的牛） vi. 抱怨，大发牢骚 
beer	[bɪə(r), bɪr] n. 啤酒，麦酒 
before	[bɪˈfɔr,-ˈfor, bɪˈfɔ:(r)] prep. 在…之前 conj. 在…之前 adv. 先前，从前 
beforehand	[bɪˈfɔ:hænd, bɪˈfɔ:rhænd] adv. 提前;事先，预先 adj. 提前的;预先准备好的 
beg	[beg, bɛɡ] vt.&vi. 乞讨 
begin	[ˈbeɡɪn, bɪˈgɪn] vt.&vi. 开始;着手 vi. （从…）开始;起始 
beginner	[bɪˈɡɪnɚ, bɪˈgɪnə(r)] n. 新手，初学者 
beginning	[bɪˈgɪnɪŋ, bɪˈɡɪnɪŋ] n. 开始;根源 v. 开始( begin的现在分词) 
behalf	[bɪˈhæf, bɪˈhɑ:f] n. 利益 
behave	[bɪˈheɪv, bɪˈhev] vi. 表现;举止端正 vt. 使守规矩 
behaviour	[bɪˈhevjɚ, bɪˈheɪvjə(r)] n. 行为;举止 na. “behavior”的变体 
behind	[bɪˈhaɪnd] prep. （表示位置）在…的后面 adv. 在后面 n. 〈口〉屁股 
being	[ˈbi:ɪŋ, ˈbiɪŋ] n. 存在 
belief	[bɪˈli:f, bɪˈlif] n. 信，信任 
believe	[bɪˈli:v, bɪˈliv] v. 信任;料想 vt. 相信;信任 
bell	[bel, bɛl] n. 钟，铃 vt. 敲钟 vi. 使象钟状地张开 
belong	[bɪˈlɒŋ, bɪˈlɔ:ŋ] vi. 属于 
beloved	[bɪˈlʌvɪd, -ˈlʌvd, bɪˈlʌvd] adj. 亲爱的;被热爱的 n. 心爱的人，可爱的人;情人 
below	[bɪˈləʊ, bɪˈloʊ] adv. 在下面，到下面 prep. 低于;（表示位置）在…下面 
belt	[bɛlt, belt] n. 腰带;传送带 vt. 环绕，包围;用带做记号 
bench	[bɛntʃ, bentʃ] n. （木制）长凳，工作台;法官，法官席 vt. 给…以席位;为…设置条凳 
bend	[bɛnd, bend] vt. （使）弯曲，屈身 vi. 偏向 n. 弯道 
beneath	[bɪˈniθ, bɪˈni:θ] prep. 在…的下方;（表示等级）低于 adv. 在下面;在底下 
benefit	[ˈbenɪfɪt, ˈbɛnəfɪt] n. 利益，好处;救济金，津贴 vt. 有益于，有助于;使受益 
bent	[bɛnt, bent] adj. 弯曲的 n. 爱好，癖好 v. （使）弯曲，屈身(bend的过去式和过去分词) 
beside	[bɪˈsaɪd] prep. 不中（目标），不对（题），与…无关;（表示排斥）除…之外 adv. 〈古〉同“besides” 
besides	[bɪˈsaɪdz] adv. 此外;而且 prep. （表示排斥）除…之外（还有）;在…之外（还有），…之余兼 
best	[best, bɛst] adj. 最好的( good和well的最高级) adv. 最好地 n. 佼佼者 vt. [口]打败，胜过 
bet	[bet] n. 打赌，赌博，赌注 vi. 当然，的确 vt. 赌博 
betray	[bɪˈtreɪ, bɪˈtre] vt. 背叛 
better	[ˈbɛtɚ, ˈbetə(r)] adj. 较好的 adv. 更好地 v. 胜过 n. 更好者 
between	[bɪˈtwi:n, bɪˈtwin] prep. 在…之间;私下，暗中 adv. 当中，中间 
beware	[bɪˈwer, bɪˈweə(r)] v. 当心 
beyond	[bɪˈjɒnd, bɪˈjɑ:nd] prep. 超过 adv. 在远处 n. 远处 
Bible	[ˈbaɪbəl] n. 圣经 
bicycle	[ˈbaɪsɪkl] n. 自行车;脚踏车 v. 骑自行车 
bid	[bɪd] n. 出价，投标 vt.&vi. 出价， 投标 vt. 恳求 vi. 投标 
big	[bɪɡ, bɪg] adj. 大的 adv. 大量地 n. 大亨 
bill	[bɪl] n. 账单 vt. 安排 vi. 鸟嘴相接触 
billion	[ˈbɪljən] n. 十亿;数以十亿计 adj. （法美）十亿的;（英德）万亿的 
bind	[baɪnd] vt. 捆绑 vt.&vi. （使）结合 n. 捆绑 
biography	[baɪˈɒgrəfi, baɪˈɑ:grəfi] n. 传记 
bird	[bɜ:d, bɜ:rd] n. 鸟，禽;<俚>少女，姑娘，人，家伙，东西 vi. 观察和辨认鸟;捕鸟，打鸟 
birth	[bɜ:θ, bɜ:rθ] n. 出生 
birthday	[ˈbɜ:rθdeɪ, ˈbɜ:θdeɪ] n. 生日 
birthplace	[ˈbɜ:θpleɪs, ˈbɜ:rθpleɪs] n. 诞生地，出生地 
biscuit	[ˈbɪskɪt] n. <英>饼干 
bit	[bɪt] n. 一点，一块 adj. 很小的，微不足道的 adv. [口语]相当，有点儿，或多或少，多少[a bit to的省略] vt. 给（马）上嚼子 v. 咬，叮( bite的过去式) 
bite	[baɪt] vt.&vi. 咬 n. 咬 vi. 刺痛 vt. （辣椒，胡椒等）刺激 abbr. 机内测试设备(Built-In Test Equipment) 
bitter	[ˈbɪtə(r), ˈbɪtɚ] adj. 苦的 n. 苦 adv. 激烈地 vt. 使变苦 
black	[blæk] adj. 黑（色）的 n. 黑色 v. 使变黑 
blackboard	[ˈblækbɔ:d, ˈblækbɔ:rd] n. 黑板 
blame	[blem, bleɪm] vt. 归咎于;指责，责怪 n. 责备;责任 
blank	[blæŋk] adj. 空白的 n. 坯 vt. 消失 vi. 走神 
blanket	[ˈblæŋkɪt] n. 毛毯，毯子 adj. 总括的 vt. 用毯覆盖 
blast	[blæst, blɑ:st] n. 爆炸 vt. 击毁，摧毁 vi. 爆炸 
blaze	[bleɪz, blez] n. 火焰 vi. 猛烈地燃烧 vt. 在树片上刻痕指示（道路等） 
bleed	[bli:d, blid] vt. 使出血 vi. 流血 vt.&vi. 散开 n. [印]出血版 
bless	[blɛs, bles] vt. 祝福 
blind	[blaɪnd] adj. 失明的 vt. 弄瞎，使失明 n. 掩饰 adv. 盲目地 
block	[blɒk, blɑ:k] n. 块;街区 vt. 阻止;阻塞 
blood	[blʌd] n. 血，血液;流血，杀戮，杀人（罪），牺牲 vt. 用血染（皮革等），用血弄湿;使出血，抽…的血 
bloody	[ˈblʌdi] adj. 血腥的，残忍的 adv. 非常，很 v. 血污，血染 
bloom	[blum, blu:m] n. （常指供观赏的）花;开花期 vi. 开花;使植物繁盛 
blossom	[ˈblɒsəm, ˈblɑ:səm] n. 花，群花;开花时期，（发育的）初期 vi. （植物）开花;繁荣，兴旺 
blouse	[blaʊz, blaʊs] n. 短上衣;女衬衫 vt. 使…宽松下垂 
blow	[bləʊ, bloʊ] n. 殴打，打击 vt.&vi. （风）吹 vt. 吹，吹气 vi. 吹刮，吹动 
blue	[blu:, blu] n. 蓝色 adj. 蓝色的 vt. 把…染成蓝色 vi. 变成蓝色，呈蓝色 
blush	[blʌʃ] vi. 脸红，惭愧;变红 n. 脸红，红色;<古>一见，一瞥 
board	[bɔ:d, bɔ:rd] n. 板 vt. 上（船、车或飞机） vi. （火车、轮船、飞机等）接受乘客 
boast	[bəʊst, boʊst] vt. 夸口说;自夸，自吹自擂 n. 夸口，自负;自负的事物，引以为傲的东西 
boat	[bəʊt, boʊt] n. 小船，小艇 vi. 乘船，划船 vt. 用船运输 
body	[ˈbɑ:di, ˈbɒdi] n. 身体;尸体 vt. 赋予形体 
boil	[bɔɪl] n. 煮沸，沸腾 vt.&vi. （使）沸腾，开 vt. 用开水煮，在沸水中煮 vi. 怒火中烧，异常气愤 
boiler	[ˈbɔɪlɚ, ˈbɔɪlə(r)] n. 锅炉 
bold	[bəʊld, boʊld] adj. 明显的，醒目的;勇敢的，无畏的 n. 粗体字;黑体字 
bomb	[bɒm, bɑ:m] n. 炸弹 vt. 轰炸，投弹于 vi. 投弹 
bond	[bɑ:nd, bɒnd] n. 债券;纽带 v. 使结合;建立互信关系 
bone	[bəʊn, boʊn] n. 骨头 vt. 挑鱼刺，剔骨头 vi. 苦学 
book	[bʊk] n. 书 vt.&vi. 预订 vt. 登记 adj. 书的 
boot	[but, bu:t] n. 长靴，皮靴 vt. 穿（靴） vi. 帮助或益处 
booth	[bu:ð, bu:θ] n. 售货棚，摊位 
border	[ˈbɔ:rdə(r), ˈbɔ:də(r)] n. 边界 vt.&vi. 与…接界，在…的边上 vt. 沿…的边，环绕…，给…镶边 vi. 近似，毗邻 
born	[bɔ:rn, bɔ:n] vt. bear的过去分词 vi. 结果，生产 adj. 出生的，出身于…的 
borrow	[ˈbɒrəʊ, ˈbɑ:roʊ] vt.&vi. 借入;借钱，借用 n. 借，借用;担保物，抵押 
bosom	[ˈbʊzəm, ˈbuzəm, ˈbʊzəm] n. 胸怀 vt. 怀抱 adj. 心爱的 
boss	[bɒs, bɔ:s] n. 老板，上司 vt. 当…的首领 vi. 当首领 adj. <俚>很好的，一流的 
both	[bəʊθ, boʊθ] adj. 二者，两者都 pron. 二者 adv. 二者，二者都 conj. 不仅…而且…，…和…都 
bother	[ˈbɒðə(r), ˈbɑ:ðə(r)] vt. 烦恼 vi. 麻烦 n. 麻烦，操心 
bottle	[ˈbɒtl, ˈbɑ:tl] n. 瓶子 vt. 把…装入瓶中 vi. （街头艺人演出后）收拢钱币 
bottom	[ˈbɑ:təm, ˈbɒtəm] n. 底部 adj. 底部的 vt. 装底 vi. 到达底部 
bound	[baʊnd] vi. 跳，弹跳 vt. 束缚 n. 界限，限制 adj. 用带子绑住的 
boundary	[ˈbaʊndri, ˈbaʊndəri, -dri] n. 分界线 
bow	[boʊ, bəʊ] n. 弓 
bowl	[bəʊl, boʊl] n. 碗 vi. 参加保龄球赛 vt. 投掷或滚动（球） 
box	[bɑ:ks, bɒks] n. 盒 vt. 把…装入盒[箱，匣]中 vt.&vi. 拳击 
boy	[bɔɪ] n. 儿子 
brain	[breɪn, bren] n. 脑;智慧 vt. 打破…的脑袋;打…的头部 
brake	[breɪk, brek] n. 刹车;制动器，闸 vt.&vi. 刹（车） 
branch	[bræntʃ, brɑ:ntʃ] n. 分支 vi. 分支形成 vt. 使分支 
brand	[brænd] n. [商]商标，牌子;烙印 vt. 污辱;铭刻于 
brass	[brɑ:s, bræs] n. 黄铜;铜管乐器 v. 〈英〉付（款）;[冶]把…包铜 
brave	[breɪv, brev] adj. 勇敢的 vt. 勇敢面对，不怕，不顾 n. 勇士 
bravery	['breɪvərɪ, ˈbrevəri, ˈbrevri] n. 勇敢，勇气 
bread	[bred, brɛd] n. 面包;食物 vt. 在…上撒面包屑 
break	[breɪk, brek] vt. （使）破 vi. 突破 n. 破裂 
breakfast	[ˈbrekfəst] n. 早餐，早饭 vi. 吃早餐 vt. 供给…早餐 
breast	[brest, brɛst] n. 乳房，乳腺;胸脯，胸部 vt. 升高，攀登;坚毅地面对，与…搏斗 
breath	[breθ, brɛθ] n. 呼吸 
breathe	[bri:ð, brið] vi. 呼吸;活着，生存 vt. 呼吸;吸进（如香气） 
breed	[bri:d, brid] vt. 产（后代），生 vi. 产仔 n. 属 
brick	[brɪk] n. 砖，砖块 vt. 用砖建造、砌或铺 adj. 用砖做的 
bride	[braɪd] n. 新娘，即将（或刚刚）结婚的女子 
bridegroom	[ˈbraɪdgru:m, ˈbraɪdˌɡrum,-ˌɡrʊm] n. 新郎 
bridge	[brɪdʒ] n. 桥;桥牌 vt. 在…建桥，架桥于…之上;通过桥横跨 
brief	[bri:f, brif] adj. 短暂的 vt. 向…介绍基本情况 n. 概要 
bright	[braɪt] adj. 明亮的，鲜亮的 adv. 明亮地，光明地，光亮地 n. 车头灯 
brilliant	[ˈbrɪliənt, ˈbrɪljənt] adj. 才华横溢的;明亮的 n. 宝石;钻石 
bring	[brɪŋ] vt. 导致 
brisk	[brɪsk] adj. 轻快的 vi. 活跃起来 vt. 使…活泼 
Britain	[ˈbrɪtn] n. 不列颠，英国 
British	[ˈbrɪtɪʃ] adj. 英国的;英国人的 n. （总称）英国人;英国英语 
brittle	[ˈbrɪtl] adj. 易碎的 
broad	[brɔd, brɔ:d] adj. 广泛的;宽阔的 n. 婆娘 
broadcast	[ˈbrɔ:dkæst, ˈbrɔ:dkɑ:st] vt. 广播 vi. 播放节目 n. 广播 adj. 广播的 
brook	[brʊk] vt. 容忍，忍受 n. 小溪 
broom	[bru:m, brum,brʊm] n. 扫帚 vt. 扫除 vi. 桩顶开花或开裂 
brother	[ˈbrʌðɚ, ˈbrʌðə(r)] n. 兄弟;同事，同胞 int. （表示生气或吃惊）我的老兄！ 
brow	[braʊ] n. 前额 
brown	[braʊn] adj. 棕色的 n. 棕色 v. 变成棕色 
brush	[brʌʃ] n. 刷子，画笔 vt. 刷 vi. 刷 
brutal	[ˈbrutl, ˈbru:tl] adj. 残忍的 
bubble	[ˈbʌbəl, ˈbʌbl] n. 泡，水泡 vt.&vi. 起泡，使冒气泡 vi. 使冒泡，发出冒泡的声音 
bucket	[ˈbʌkɪt] n. 水桶;一桶（的量） v. 用桶装，用桶运;倾盆而下 
bud	[bʌd] n. 芽，萌芽;蓓蕾，骨朵 vi. 发芽，长出蓓蕾;开始发育 
budget	[ˈbʌdʒɪt] n. 预算 vt.&vi. 把…编入预算 adj. 价格低廉的 vt. 在预算中拨款给 vi. 做安排(for) 
buffet	[ˈbʊfeɪ, bəˈfeɪ] n. 自助餐 
build	[bɪld] vt. 建立 vi. 建造，营造 n. 体格，构造 
building	[, ˈbɪldɪŋ] n. 建筑物;房屋 v. build的现在分词 
bulb	[bʌlb] n. 电灯泡 
bull	[bʊl] n. 公牛 vt. [证券]从事投机使（证券等）价格上涨 vi. [证券]（证券、股票等）价格上涨 adj. 公的，雄的 
bullet	[ˈbʊlɪt] n. 弹丸 
bulletin	[ˈbʊlətɪn, ˈbʊlɪtn, -tɪn] n. 公告，公报;新闻快报 vt. 公布，公告;用公报发表 
bunch	[bʌntʃ] n. 束，串，捆 vt. 聚成一串，形成一串 vi. 形成一串，形成一组 
bundle	[ˈbʌndl] n. 捆 vt.&vi. 收集，归拢，把…塞入 vt. 额外免费提供（设备等），（尤指出售计算机时）赠送软件 vi. 匆匆送走 
burden	[ˈbɜ:dn, ˈbɜ:rdn] n. 负担，包袱;责任，义务 vt. 使烦恼，劳累;向（车，船等）上装货 
bureau	[ˈbjʊərəʊ, ˈbjʊroʊ] n. 局 
burn	[bɜ:rn, bɜ:n] vt.&vi.&link-v. （使）燃烧 vt.&vi. 烧伤 n. 烧伤，烧痕 
burst	[bɜ:st, bɜ:rst] vi. 爆发 vt. 使爆炸 n. 突发 
bury	[ˈberi, ˈbɛri] vt. 埋葬，葬;为…举行葬礼 n. 布里 
bus	[bʌs] n. 公共汽车，巴士，客机 vt. 用公共汽车运送 vi. 乘公共汽车 
bush	[bʊʃ] n. 灌木（丛） vi. 丛生 vt. 加（金属）衬套于 adj. （豆科植物等）如灌木般长得低矮的 
business	[ˈbɪznɪs, ˈbɪznəs] n. 生意 
busy	[ˈbɪzi] adj. 忙碌的 vt. 忙着做某事 n. 〈英俚〉侦探 
but	[bət, bʌt,bət] conj. 但是 prep. 除…以外 adv. 不过 n. 但是 pron. [关系代词，意义相当于 who…not
butcher	[ˈbʊtʃə(r), ˈbʊtʃɚ] n. 肉铺;屠夫，屠户 vt. 屠宰;屠杀 
butter	[ˈbʌtə(r), ˈbʌtɚ] n. 黄油;黄油状的食品 vt. 抹黄油于…上;用黄油煎食物 
butterfly	[ˈbʌtəflaɪ, ˈbʌtərflaɪ] n. 蝴蝶;蝶泳 v. 切开摊平 
button	[ˈbʌtn] n. 按钮，电钮 vt. 用纽扣扣紧 vi. 扣住 
buy	[baɪ] vt.&vi. 购买，购得 n. 交易，买卖 vt. 够支付 
by	[baɪ] prep. 在…旁边;表示方式 adv. 经过;表示保留或保存时用 
bye-bye	['baɪˌbaɪ, ˈbaɪˌbaɪ, baɪˈbaɪ] int. 再见 
cabbage	[ˈkæbɪdʒ] n. 甘蓝（洋白菜、卷心菜） 
cabin	[ˈkæbɪn] n. 客舱 vt. 把…关在小屋里 vi. 住在小屋里 
cabinet	[ˈkæbɪnət, ˈkæbənɪt] n. 内阁;柜橱 adj. 内阁的;秘密的 
cable	[ˈkebəl, ˈkeɪbl] n. 缆绳，绳索 vt. 发电报至 vi. 拍发电报 
cafe	[ˈkæfeɪ, kæˈfeɪ] n. 咖啡馆，小餐厅 
cafeteria	[ˌkæfəˈtɪriə, ˌkæfəˈtɪəriə] n. 自助餐厅 
cage	[keɪdʒ, kedʒ] n. 笼子;牢房 vt. 把…关入牢中;把…关进笼内 
cake	[keɪk] n. 蛋糕;糕饼 vt.&vi. （使）结块;（使）胶 
cal	[] abbr. small calorie 卡，小卡 
calculate	[ˈkælkjuleɪt, ˈkælkjəˌlet] vt.&vi. 计算;估计 vt. 预测，推测 
calendar	[ˈkælɪndə(r), ˈkæləndɚ] n. 日历;历法 vt. 把…记入日程表中;把…列入表中 
call	[kɔ:l, kɔl] v. 打电话给;呼唤，喊叫 n. 喊叫，大声喊;电话联络 
calm	[kɑ:m, kɑm] adj. 平静的 vt.&vi. （使）平静，（使）镇定 n. 平静 vt. 使安静 vi. 安静下来，平静下来，镇静下来 
camel	[ˈkæməl, ˈkæml] n. 骆驼 
camera	[ˈkæmərə, ˈkæmərə, ˈkæmrə] n. 照相机 
camp	[kæmp] n. 营地，工地宿舍 vt.&vi. 宿营，露营 adj. 夸张的 vi. （尤指在假日）野营 vt. 使扎营（住宿） 
campaign	[kæmˈpen, kæmˈpeɪn] n. 运动;战役 vi. 作战;参加[发起]运动，参加竞选 
campus	[ˈkæmpəs] n. 校园 
can	[kæn] aux. 可以 vt. 将…装入密封罐中保存 n. 罐头 
Canada	[ˈkænədə, 'kænədə] n. 加拿大 
Canadian	[kəˈneɪdiən, kəˈnediən] adj. 加拿大的;加拿大人的 n. 加拿大人 
canal	[kəˈnæl] n. 运河，沟渠;管道 vt. 建运河;疏导 
cancel	[ˈkænsl, ˈkænsəl] vt. 取消，注销 vi. 抵消，中和 n. 撤销，注销 
cancer	[ˈkænsə(r), ˈkænsɚ] n. 癌症，恶性肿瘤 
candidate	[ˈkændɪdət, ˈkændɪˌdet, -dɪt] n. 报考者 
candle	[ˈkændl] n. 蜡烛;烛光 vt. 对光检查 
candy	[ˈkændi] n. 糖果 vt. （用糖煮过以）保存 adj. 〈美俚〉（服饰）花哨的 
cannon	[ˈkænən] n. 大炮 vi. 与…猛撞 vt. 炮轰 
canoe	[kəˈnu:, kəˈnu] n. 独木舟，轻舟 vt. 用独木舟运送 vi. 划（乘）独木舟 
cap	[kæp] n. 盖 vi. 脱帽致意 vt. 覆盖 abbr. Common Agricultural Policy （欧共体）共同农业政策 
capable	[ˈkepəbəl, ˈkeɪpəbl] adj. 能干的;有才能的 n. 有才能的，能干的 
capacity	[kəˈpæsəti, kəˈpæsɪti] n. 容量;性能 adj. 充其量的，最大限度的 
capital	[ˈkæpɪtl] n. 资本;首都 adj. 资本的;首都的 
captain	[ˈkæptən, ˈkæptɪn] n. 上尉;船长，机长 vt. 当首领;统帅或指挥 
capture	[ˈkæptʃə(r), ˈkæptʃɚ] vt. 俘获;夺取 n. 捕获;占领 
car	[kɑr, kɑ:(r)] n. 汽车 
card	[kɑ:rd, kɑ:d] n. 卡片;信用卡 vt. 记于卡片上 
care	[ker, keə(r)] v. 照顾;关心 n. 照顾;小心 
career	[kəˈrɪə(r), kəˈrɪr] n. 职业 adj. 作为毕生职业的 vi. 全速前进，猛冲 
careful	[ˈkeəfl, ˈkerfl] adj. 仔细的，小心的 
careless	[ˈkeələs, ˈkerləs] adj. 粗心的 
cargo	[ˈkɑ:rgoʊ, ˈkɑ:gəʊ] n. （船或飞机装载的）货物 
carpet	[ˈkɑ:rpɪt, ˈkɑ:pɪt] n. 地毯，桌毯;毛毯，绒毯 vt. 在…上铺地毯;把地毯铺在…上 
carriage	[ˈkærɪdʒ] n. 运费 
carrot	[ˈkærət] n. 胡萝卜 
carry	[ˈkæri] vt. 携带 vt.&vi. 运送 vi. （文学、戏剧等）对读者 n. （枪炮、火箭等的）射程 
cart	[kɑ:rt, kɑ:t] n. 运货马车，手推车;一车之量 vt. 用推车或卡车运送;费力搬运 
cartoon	[kɑ:ˈtu:n, kɑ:rˈtu:n] n. 漫画 vt. 为…画漫画 vi. 画漫画 
carve	[kɑ:rv, kɑ:v] vi. 雕刻;切，切开 vt. 雕塑;切片 
case	[kes, keɪs] n. （实）例，事例;情况，状况 vt. 把…装入箱（或盒等）内;加盖于 
cash	[kæʃ] n. 现金 vt. 兑现 adj. 现金的 
cashier	[kæˈʃɪə(r), kæˈʃɪr] n. 出纳员 vt. 解雇;抛弃 
cassette	[kəˈset, kəˈsɛt, kæ-] n. 盒式录音带 
cast	[kæst, kɑ:st] vt. 铸造 n. 铸型 vi. 掷，投 
castle	[ˈkɑ:sl, ˈkæsl] n. 城堡，堡垒;象棋中的车 vt. 把…置于城堡中;（下国际象棋时）用车护（王） 
casual	[ˈkæʒuəl] adj. 随便的;偶然的 n. 临时工人;[军]待命士兵 
casualty	[ˈkæʒuəlti] n. 伤亡（人数） 
cat	[kæt] n. 猫;猫科动物 vt. 把（锚）吊放在锚架上;〈俚〉寻欢，宿娼 
catalogue	[ˈkætlˌɔɡ, -ˌɑɡ, ˈkætəlɒg] n. 目录，一览表;（美）大学情况便览 vt. 为…编目录;登记分类 
catch	[kætʃ, kætʃ, kɛtʃ] vt. 赶上 vt.&vi. （使）被钩住，（使）被卡住 n. 抓 vi. 锁住 adj. 迷惑人的 
category	[ˈkætəgɔ:ri, ˈkætəgəri] n. 类型，部门，种类，类别，类目 
cathedral	[kəˈθi:drəl, kəˈθidrəl] n. 总教堂，大教堂 adj. 教堂的;权威的 
Catholic	[ˈkæθəlɪk, ˈkæθlɪk, ˈkæθlɪk] adj. 天主教的;统括一切的 n. 旧教徒;旧教信奉者 
cattle	[ˈkætl] n. （总称）牛，牲口 
cause	[kɔ:z, kɔz] n. 原因;事业 vt. 引起;导致 
caution	[ˈkɔʃən, ˈkɔ:ʃn] n. 警告;小心 vt. 警告;提醒 
cautious	[ˈkɔ:ʃəs, ˈkɔʃəs] adj. 小心的，谨慎的 
cave	[keɪv, kev] n. 洞穴 vt.&vi. （使）塌陷，倒塌 vi. 屈服 
cease	[sis, si:s] vt. 停止，终止，结束 vi. 终止，停止 n. 停止 
ceiling	[ˈsi:lɪŋ, ˈsilɪŋ] n. 天花板 
celebrate	[ˈsɛləˌbret, ˈselɪbreɪt] v. 庆祝 
cell	[sɛl, sel] n. 电池 vi. 住在牢房或小室中 vt. 囚禁 
cellar	[ˈsɛlɚ, ˈselə(r)] n. 酒窖;地下室，地窖 vt. 把…藏入地窖（酒窖） 
cement	[sɪˈmɛnt, sɪˈment] n. 水泥;胶合剂 vt. 巩固;粘牢 
cent	[sent, sɛnt] n. 分 
center	[ˈsɛntɚ, 'sentə] n. 中心 adj. 中央的，位于正中的 vt. 集中 vi. 居中，有中心，被置于中心 
central	[ˈsentrəl, ˈsɛntrəl] adj. 中央的，中心的;重要的，核心的 n. 电话总局;电话转接员 
century	[ˈsɛntʃəri, ˈsentʃəri] n. 百年，一世纪 
ceremony	[ˈserəmoʊni, ˈserəməni] n. 典礼，仪式 
certain	[ˈsɜ:tn, ˈsɜ:rtn] adj. 某一;必然的 pron. [动词用复数]某些 
certainly	[ˈsɜ:tnli, ˈsɜ:rtnli] adv. 肯定 
certainty	[ˈsɜ:tnti, ˈsɜ:rtnti] n. 确定性，确实性 
certificate	[səˈtɪfɪkət, sərˈtɪfɪkət] n. 证明书;文凭，结业证书 vt. 发给证明书;用证书证明（或认可） 
chain	[tʃeɪn, tʃen] n. 链子，链条;连锁，连续 vt. 用铁链锁住;监禁，束缚 
chair	[tʃeə(r), tʃer] n. 椅子;大学教授职位 vt. 主持;使…入座 
chairman	[ˈtʃeəmən, ˈtʃermən] n. （主持会议的）主席;委员长 vt. 担任…的主席 
chalk	[tʃɔk, tʃɔ:k] n. 粉笔，白垩;用粉笔画的记号 v. 用粉笔写（记下）;用白垩粉擦（桌球杆等） 
challenge	[ˈtʃæləndʒ] n. 挑战 vt. 质疑 vi. 提出挑战，要求竞赛（或竞争） 
chamber	[ˈtʃembɚ, ˈtʃeɪmbə(r)] n. 室，卧室，会客室;内庭 vt. 限制，幽禁，封闭或限制;使备有房间 
champion	['tʃæmpɪən, ˈtʃæmpiən] n. 冠军 vt. 为…而斗争，捍卫，声援 adj. 优胜的 
chance	[tʃɑ:ns, tʃæns] n. 机会，机遇 v. 偶然发生 adj. 偶然的 
chancellor	['tʃɑ:nsələ(r), ˈtʃænsəlɚ, -slɚ] n. 大臣 
change	[tʃeɪndʒ, tʃendʒ] vt. 改变，变更 vi. 改变，转变 n. 变化，改变 
changeable	[ˈtʃeɪndʒəbl, ˈtʃendʒəbəl] adj. 可变的 
channel	[ˈtʃænəl, ˈtʃænl] n. 渠道;海峡 vt. 引导，开导;形成河道 
chaos	[ˈkeɪɒs, ˈkeɪɑ:s] n. 混乱，紊乱 
chapter	[ˈtʃæptə(r), ˈtʃæptɚ] n. 章，回;（俱乐部、协会等的）分会 vt. 把…分成章节 
character	[ˈkærəktə(r), ˈkærəktɚ] n. 性格;角色 vt. 刻，印;使具有特征 
characteristic	[ˌkærəktəˈrɪstɪk] adj. 特有的;独特的 n. 特性，特征，特色，[数]（对数的）首数;独特性 
characterize	[ˈkærəktəraɪz, ˈkærəktəˌraɪz] vt. 描述（人或物）的特性;具有…的特征 vi. 塑造人物 
